,Name,Mat,Inns,NO,Runs,HS,Ave,BF,SR,X100,X50,X4s,X6s,Ct,St,BattingScore,Base Price,Selected,Price,
1,Hashim Amla,81,80,6,2138,88*,28.89,1732,123.44,0,12,249,30,25,0,1.1876306241,20000000,1,20000000,110000000
2,Yuvraj Singh,158,152,19,3589,83,26.98,2696,133.12,0,22,272,203,39,0,1.3636258069,20000000,1,20000000,6
3,Dinesh Karthik,177,155,20,3270,90*,24.22,2549,128.28,0,15,323,94,104,39,1.2594309823,20000000,1,20000000,18.7145037076
4,Kevin Pietersen,135,130,19,3903,115*,35.16,2893,134.91,3,21,361,139,52,0,1.4369165175,20000000,1,20000000,
5,Angelo Mathews,133,112,31,2029,73*,25.04,1662,122.08,0,6,141,63,47,0,1.1473662091,15000000,1,15000000,
6,Eoin Morgan,172,161,23,3649,85*,26.44,2820,129.39,0,17,310,144,78,0,1.288951665,15000000,1,15000000,
7,Kumar Sangakkara,165,159,17,4239,94,29.85,3384,125.26,0,24,457,77,101,42,1.2257594739,10000000,0,10000000,
8,Aaron Finch,132,129,13,3829,156,33,2890,132.49,2,25,390,137,53,0,1.3783053332,10000000,0,10000000,
9,Mahela Jayawardene,187,180,24,4357,110*,27.92,3363,129.55,2,28,503,100,70,0,1.2986779177,10000000,0,10000000,
10,Amit Mishra,149,72,29,597,49,13.88,613,97.38,0,0,56,5,26,0,0.7146434822,10000000,0,10000000,
11,Murali Vijay,136,134,4,3231,127,24.85,2660,121.46,2,15,294,121,59,0,1.1361486512,5000000,0,5000000,
12,Kane Williamson,80,73,8,1580,101*,24.3,1316,120.06,1,7,167,26,30,0,1.1087048215,5000000,0,5000000,
13,Michael Hussey,140,131,24,4055,116*,37.89,3233,125.42,1,31,383,109,66,0,1.2693772299,15000000,0,15000000,
14,Cameron White,199,190,42,4502,141*,30.41,3504,128.48,2,28,313,195,85,0,1.2890131764,15000000,0,15000000,
15,Alex Hales,134,133,8,3664,116*,29.31,2633,139.15,1,26,392,130,52,0,1.4948726507,10000000,0,10000000,
16,Brad Hodge,243,229,49,6661,106,37,5060,131.64,2,44,660,215,93,0,1.3832458585,10000000,0,10000000,
17,Cheteshwar Pujara,48,40,6,769,62,22.61,749,102.67,0,3,91,9,19,0,0.8164698948,10000000,0,10000000,
18,Ross Taylor,202,189,39,4389,111*,29.26,3289,133.44,1,22,307,217,96,0,1.3795152577,10000000,0,10000000,
19,Michael Carberry,126,119,16,3255,100*,31.6,2645,123.06,1,26,345,90,41,0,1.1935585528,5000000,0,5000000,
20,Darren Bravo,86,79,20,1971,86*,33.4,1671,117.95,0,12,131,96,20,0,1.1104973467,5000000,0,5000000,
21,Richard Levi,150,145,11,3782,117*,28.22,2671,141.59,3,24,379,183,39,0,1.5409839171,5000000,0,5000000,
22,Nayan Doshi,52,10,5,10,5,2,34,29.41,0,0,1,0,12,0,0.0641813745,5000000,0,5000000,
23,S Badrinath,137,105,29,2132,71*,28.05,1912,111.5,0,13,200,40,27,0,0.9769485362,3000000,0,3000000,
24,Dean Elgar,53,49,14,1302,72,37.2,1203,108.22,0,8,87,34,17,0,0.9675944765,3000000,0,3000000,
25,Callum Ferguson,68,62,7,1190,71,21.63,1015,117.24,0,6,97,22,33,0,1.0500577778,3000000,0,3000000,
26,Abhinav Mukund,21,20,4,439,64*,27.43,419,104.77,0,1,41,0,13,0,0.8663716264,3000000,0,3000000,
27,Venugopal Rao,83,71,12,1390,71*,23.55,1142,121.71,0,7,107,50,17,0,1.1354006239,3000000,0,3000000,
28,Hamish Rutherford,78,76,1,1762,87,23.49,1239,142.21,0,7,192,77,28,0,1.5348067519,3000000,0,3000000,
29,Aiden Blizzard,83,80,10,1850,89,26.42,1361,135.92,0,10,207,60,25,0,1.4165256451,3000000,0,3000000,
30,Michael Klinger,99,97,15,3058,126*,37.29,2423,126.2,5,17,284,74,31,0,1.2803940115,3000000,0,3000000,
31,Travis Head,12,11,1,239,71,23.9,161,148.44,0,2,19,12,2,0,1.6697640473,3000000,0,3000000,
32,Marcus Harris,7,7,0,164,53,23.42,132,124.24,0,1,20,3,2,0,1.1806439867,3000000,0,3000000,
33,Craig Simmons,25,25,1,671,112,27.95,463,144.92,2,0,58,38,3,0,1.6091511488,3000000,0,3000000,
34,Debabrata Das,49,36,17,657,78*,34.57,502,130.87,0,2,51,32,15,0,1.3533729401,2000000,0,2000000,
35,Sudip Chatterjee,6,6,0,137,89,22.83,123,111.38,0,1,15,2,1,0,0.9548242718,2000000,0,2000000,
36,Prashant Chopra,13,13,1,349,90,29.08,315,110.79,0,2,32,11,8,1,0.9691501443,2000000,0,2000000,
37,Mukul Dagar,13,13,1,454,99*,37.83,329,137.99,0,5,69,9,4,0,1.5123297273,1000000,0,1000000,
38,Nikhil Gangta,14,11,1,122,29,12.2,88,138.63,0,0,15,4,3,0,1.4304745975,1000000,0,1000000,
39,Arjit Gupta,9,8,1,106,72,15.14,93,113.97,0,1,8,7,1,0,0.9763671025,1000000,0,1000000,
40,Rinku Singh,13,13,3,167,34,16.7,125,133.6,0,0,14,5,8,0,1.3389411066,1000000,0,1000000,
41,Robin Bist,14,13,2,136,30*,12.36,166,81.92,0,0,9,0,4,0,0.5069564874,1000000,0,1000000,
42,Praful Waghela,2,2,0,10,5,5,19,52.63,0,0,0,0,0,0,0.2064353537,1000000,0,1000000,
43,Paras Dogra,52,50,10,951,93*,23.77,907,104.85,0,4,68,25,33,0,0.8539022354,1000000,0,1000000,
44,Shreyas Iyer,21,21,2,482,83,25.36,392,122.95,0,4,43,22,5,0,1.1642142058,1000000,0,1000000,
45,Sheldon Jackson,21,21,2,438,73*,23.05,412,106.31,0,2,47,12,11,2,0.8740945916,1000000,0,1000000,
46,Sarfaraz Khan,19,14,6,182,45*,22.75,116,156.89,0,0,17,6,2,0,1.8562771767,1000000,0,1000000,
47,Mohnish Mishra,48,47,3,899,84,20.43,675,133.18,0,3,115,26,14,0,1.3410274804,1000000,0,1000000,
48,Yogesh Nagar,49,37,9,561,44*,20.03,511,109.78,0,0,40,16,16,0,0.9197798868,1000000,0,1000000,
49,Tirumalasetti Suman,75,72,9,1546,100,24.53,1230,125.69,1,5,145,65,21,0,1.2116377605,1000000,0,1000000,
50,Hanuma Vihari,46,45,7,755,81,19.86,727,103.85,0,2,66,12,21,2,0.8257986202,1000000,0,1000000,
51,Swapnil Asnodkar,58,58,3,1346,71*,24.47,1100,122.36,0,11,146,35,21,0,1.1505586661,1000000,0,1000000,
52,Sachin Baby,31,23,0,390,48,16.95,301,129.56,0,0,37,8,12,0,1.2610359301,1000000,0,1000000,
53,Udit Birla,29,24,2,530,56,24.09,491,107.94,0,1,45,16,13,0,0.9034656467,1000000,0,1000000,
54,Arindam Ghosh,13,12,3,170,67,18.88,165,103.03,0,1,13,1,8,0,0.810420258,1000000,0,1000000,
55,Manpreet Juneja,29,28,7,660,108*,31.42,527,125.23,1,2,60,14,11,0,1.2314526206,1000000,0,1000000,
56,Taruwar Kohli,26,23,9,141,22,10.07,199,70.85,0,0,6,3,10,0,0.3782515846,1000000,0,1000000,
57,Milind Kumar,14,7,4,31,10,10.33,31,100,0,0,1,1,5,0,0.7464916136,1000000,0,1000000,
58,Akhil Herwadkar,3,3,0,20,10,6.66,19,105.26,0,0,3,0,1,0,0.8216314639,1000000,0,1000000,
59,Shubham Khajuria,4,4,1,94,61*,31.33,105,89.52,0,1,6,5,1,0,0.6644534932,1000000,0,1000000,
60,Evin Lewis,28,28,0,899,82,32.1,703,127.88,0,7,82,48,5,0,1.2842879855,1000000,0,1000000,
61,Prashant Naik,5,5,1,82,48*,20.5,60,136.66,0,0,10,2,1,0,1.4104648183,1000000,0,1000000,
62,Sujit Nayak,4,3,2,45,23*,45,25,180,0,0,3,3,1,0,2.5426648827,1000000,0,1000000,
63,R Samarth,8,8,1,72,24*,10.28,92,78.26,0,0,9,0,2,0,0.4601766238,1000000,0,1000000,
64,Virat Singh,14,14,2,167,40,13.91,189,88.35,0,0,11,2,3,0,0.5908296843,1000000,0,1000000,
65,Ben Hilfenhaus,69,29,16,126,38*,9.69,134,94.02,0,0,3,5,11,0,0.6598487918,1000000,0,1000000,
66,Zaheer Khan,115,44,25,181,26,9.52,195,92.82,0,0,16,3,26,0,0.6430473571,1000000,0,1000000,
67,Michael Beer,45,11,7,29,11*,7.25,41,70.73,0,0,0,0,8,0,0.3733891673,1000000,0,1000000,
68,Nathan Lyon,23,6,2,18,11,4.5,19,94.73,0,0,1,0,6,0,0.6643075144,1000000,0,1000000,
69,Doug Bollinger,115,14,6,55,17,6.87,56,98.21,0,0,5,1,28,0,0.7158904183,1000000,0,1000000,
70,Sean Abbott,36,24,5,204,39,10.73,198,103.03,0,0,12,8,19,0,0.7925516944,1000000,0,1000000,
71,Trent Boult,47,13,7,29,5,4.83,44,65.9,0,0,0,0,19,0,0.3224873799,1000000,0,1000000,
72,Praveen Kumar,138,71,24,588,76*,12.51,494,119.02,0,1,47,27,18,0,1.0579007818,1000000,0,1000000,
73,Munaf Patel,84,18,12,46,23*,7.66,51,90.19,0,0,5,0,20,0,0.605136641,1000000,0,1000000,
74,Jaydev Unadkat,58,14,8,20,6*,3.33,33,60.6,0,0,0,1,12,0,0.2720632147,10000000,0,10000000,
75,Cameron Boyce,26,9,6,57,24*,19,47,121.27,0,0,4,3,5,0,1.1128941657,10000000,0,10000000,
76,Brad Hogg,111,40,19,337,54,16.04,311,108.36,0,1,17,8,26,0,0.8863150859,10000000,0,10000000,
77,Ajantha Mendis,103,34,15,93,15,4.89,145,64.13,0,0,10,1,24,0,0.3055311178,10000000,0,10000000,
78,Pragyan Ojha,131,36,20,72,11*,4.5,104,69.23,0,0,0,3,21,0,0.3554961557,10000000,0,10000000,
79,Lakshmipathy Balaji,104,20,9,54,15,4.9,62,87.09,0,0,4,2,16,0,0.5619845638,5000000,0,5000000,
80,Ravi Rampaul,99,32,18,128,23*,9.14,130,98.46,0,0,7,4,20,0,0.7222062871,5000000,0,5000000,
81,Nuwan Kulasekara,81,44,14,329,31,10.96,264,124.62,0,0,18,15,30,0,1.1559442778,5000000,0,5000000,
82,Suranga Lakmal,28,9,5,31,10*,7.75,34,91.17,0,0,3,1,7,0,0.6183666009,5000000,0,5000000,
83,Dhammika Prasad,14,11,5,48,17*,8,60,80,0,0,1,2,2,0,0.4774374961,5000000,0,5000000,
84,Peter Siddle,23,7,5,21,9*,10.5,26,80.76,0,0,2,0,3,0,0.4898777268,5000000,0,5000000,
85,Shaun Tait,140,45,19,144,26,5.53,184,78.26,0,0,6,7,22,0,0.4546298475,5000000,0,5000000,
86,Gary Putland,22,9,6,16,4*,5.33,19,84.21,0,0,0,0,10,0,0.5258705904,5000000,0,5000000,
87,Adam Milne,43,17,14,105,18*,35,82,128.04,0,0,8,2,9,0,1.3013747822,5000000,0,5000000,
88,Abhimanyu Mithun,40,19,8,76,12*,6.9,58,131.03,0,0,7,3,13,0,1.271625736,5000000,0,5000000,
89,Pankaj Singh,36,17,8,59,10,6.55,81,72.83,0,0,1,2,11,0,0.3949429885,5000000,0,5000000,
90,Akila Danan,25,8,5,3,2*,1,10,30,0,0,0,0,7,0,0.0665487599,5000000,0,5000000,
91,jaya,74,35,9,131,14*,5.03,133,98.49,0,0,10,5,20,0,0.7183411263,5000000,0,5000000,
92,Kyle Abbott,75,24,15,109,16*,12.11,106,102.83,0,0,6,3,23,0,0.7918387289,5000000,0,5000000,
93,Sheldon Cottrell,39,13,2,82,21,7.45,56,146.42,0,0,5,5,18,0,1.5875918618,5000000,0,5000000,
94,Ben Laughlin,79,24,9,95,22,6.33,105,90.47,0,0,5,3,23,0,0.6074985754,5000000,0,5000000,
95,Mitchell McClenaghan,68,20,12,82,16,10.25,60,136.66,0,0,6,4,13,0,1.3871847548,3000000,0,3000000,
96,Gurinder Sandhu,20,5,2,18,7*,6,25,72,0,0,1,0,5,0,0.3855544136,3000000,0,3000000,
97,RP Singh,119,48,24,107,18,4.45,145,73.79,0,0,4,2,40,0,0.4036331191,3000000,0,3000000,
98,Rusty Theron,120,49,25,228,31*,9.5,212,107.54,0,0,13,8,34,0,0.8608574449,3000000,0,3000000,
99,Hamish Bennett,22,7,4,11,4*,3.66,14,78.57,0,0,0,0,3,0,0.4569514464,3000000,0,3000000,
100,Dirk Nannes,215,39,31,66,12*,8.25,79,83.54,0,0,3,1,34,0,0.5204980226,3000000,0,3000000,
101,Krishmar Santokie,79,22,8,124,22,8.85,127,97.63,0,0,8,8,17,0,0.7097997222,3000000,0,3000000,
102,Thilan Thushara,41,25,8,147,33*,8.64,151,97.35,0,0,8,5,12,0,0.7054960412,3000000,0,3000000,
103,Lonwabo Tsotsobe,75,10,8,7,3*,3.5,16,43.75,0,0,0,0,20,0,0.1422793652,3000000,0,3000000,
104,Sudeep Tyagi,23,5,3,5,3*,2.5,7,71.42,0,0,0,0,5,0,0.3772130251,3000000,0,3000000,
105,Nicholas Winter,3,1,0,0,0,0,6,0,0,0,0,0,0,0,0,3000000,0,3000000,
106,Ronsford Beaton,23,5,3,11,8*,5.5,9,122.22,0,0,1,0,7,0,1.1055498342,3000000,0,3000000,
107,Pradeep Sangwan,58,24,14,62,14*,6.2,66,93.93,0,0,3,1,16,0,0.6545033531,3000000,0,3000000,
108,Andrew Tye,13,6,3,40,16*,13.33,51,78.43,0,0,4,1,2,0,0.4674628488,3000000,0,3000000,
109,Krishnakant Upadhyay,17,8,6,15,11*,7.5,19,78.94,0,0,0,1,5,0,0.4644212381,3000000,0,3000000,
110,Shadab Jakati,69,19,8,142,43,12.9,123,115.44,0,0,15,1,24,0,0.9965919501,3000000,0,3000000,
111,Ashish Hooda,21,4,2,4,2,2,8,50,0,0,0,0,4,0,0.1849479409,3000000,0,3000000,
112,Pankaj Jaiswal,11,4,0,35,20,8.75,20,175,0,0,2,3,4,0,2.2676480701,3000000,0,3000000,
113,Brainder Sran,10,3,2,17,9*,17,7,242.85,0,0,2,1,1,0,4.3773811401,3000000,0,3000000,
114,Jaskaran Singh,13,9,4,52,16,10.4,47,110.63,0,0,5,2,0,0,0.9119733406,3000000,0,3000000,
115,Ishwar Chaudhary,6,2,2,2,1*,NA,6,33.33,0,0,0,0,0,0,NA,2000000,0,2000000,
116,Arup Das,14,5,1,6,3,1.5,15,40,0,0,0,0,2,0,0.1183437853,2000000,0,2000000,
117,Javed Khan,4,2,1,0,0*,0,1,0,0,0,0,0,1,0,0,2000000,0,2000000,
118,Shelley Shaurya,4,1,1,10,10*,NA,4,250,0,0,1,1,0,0,NA,2000000,0,2000000,
119,Siddharth Trivedi,103,23,11,71,12,5.91,77,92.2,0,0,5,1,23,0,0.6304603571,2000000,0,2000000,
120,Manjeet Singh,6,5,3,72,37*,36,31,232.25,0,0,5,7,2,0,4.0797907444,2000000,0,2000000,
121,Puneet Datey,5,2,0,7,6,3.5,4,175,0,0,0,1,0,0,2.2628978846,1000000,0,1000000,
122,Gauresh Gawas,13,4,3,1,1*,1,6,16.66,0,0,0,0,0,0,0.0205743948,1000000,0,1000000,
123,M. Ravi Kiran,14,6,4,7,4*,3.5,20,35,0,0,0,0,1,0,0.0913845207,1000000,0,1000000,
124,Mohammed Mudhasir,1,1,1,0,0*,NA,0,NA,0,0,0,0,0,0,NA,1000000,0,1000000,
125,Anupam Sanklecha,1,1,1,3,3*,NA,5,60,0,0,0,0,0,0,NA,1000000,0,1000000,
126,Mehjoor Ali,5,4,3,2,2*,2,10,20,0,0,0,0,3,0,0.0298398435,1000000,0,1000000,
127,Kshemal Waingankar,6,4,3,41,28*,41,33,124.24,0,0,3,3,4,0,1.2642475171,1000000,0,1000000,
128,Imtiaz Ahmed,18,12,3,102,20*,11.33,65,156.92,0,0,9,6,1,0,1.8282262983,1000000,0,1000000,
129,Palani Amarnath,14,4,3,1,1,1,3,33.33,0,0,0,0,4,0,0.0821252247,1000000,0,1000000,
