ID,RIS,SRIS,PRIS,CHIS,CAA,PCA SCORE
43906,1.3757604392,1.0292723647,0.6878802196,0.239841151,13.5111111111,-0.192133788
36084,1.2821682075,1.0510602598,2.8351073391,0.2449843967,13.4638422206,-0.7751587431
30045,0.7637596322,1.1560020114,1.9076348089,0.3070938073,7.6875,-0.3944377869
19296,1.8999628821,1.3050834849,2.1472850073,0.265833676,21.4583333333,-1.2581501969
49764,1.2039892227,1.2549532806,4.1869701783,0.2271452715,9.073553272,-1.2268466854
24598,1.4312530659,1.1021218248,3.7511114932,0.3815765269,12.0793876824,-1.2535072003
50710,1.6329134118,1.1438227426,2.669432282,0.2341433145,14.8494126023,-0.9707804132
5334,1.588510793,1.0581373142,1.4683311969,0.2045761685,16.3140495868,-0.5318580903
49289,1.7532260669,1.1992004495,1.92762987,0.3903059814,12.2085950413,-0.9840914576
277906,1.4357402743,1.0881149372,1.4340435661,0.1159481642,16.7901701323,-0.4128916615
5939,1.4384456132,1.2129265532,4.3478302106,0.6786010764,14.21,-1.8957702763
8291,1.4212651757,1.1212542651,4.0619195972,0.199207622,11.3130165289,-1.1453967165
249866,1.4311075203,0.991269591,0.7155537601,0.3212557646,13.7976625274,-0.2726012499
5674,1.0034731027,1.0991667839,3.7064051187,0.4847818568,9.8595041322,-1.1487050337
38699,1.1173909124,0.9840987838,2.214200057,0.28449752,10.4782996433,-0.4576482724
10656,0.353115727,0.7657071305,0.1765578635,0,7,0.982713489
277472,1.2687623589,0.8192382103,1.773026938,0,12.5702479339,0.0444592933
46148,0.8214276523,0.7896526938,0.4107138262,0.5524439559,5.3609467456,0.1643408407
26806,2.2872340426,0.9720239556,4.5744680851,0,43,-1.8554452626
5236,0.2277580071,0.402055968,0.2277580071,0,3.5555555556,1.4644040926
331375,1.1030080882,1.0383368864,0.5515040441,0,14.5277777778,0.1715648339
5941,0.0946745562,0.1809005228,0.8520710059,0,0.2222222222,1.639535076
30102,0.2709646191,0.9795101408,2.0720770088,0,1.3125,0.3792010422
4508,0.0892857143,1.2063599295,0.8035714286,0.0892857143,0.25,0.4808566485
277912,0.2923725242,0.6260851185,2.2220211289,0,3.5555555556,0.6576392847
30732,0.2140249889,0.3714587205,1.3023707268,0,1,1.2567143359
32965,0,0,0,0,0,2.102615432
5681,0.5679398206,1.0018465537,3.395518565,0,6.4375,-0.2168509227
268739,0.1098991791,0.9603858019,0.963754052,0.0508905852,0.34375,0.7271091455
52912,0.3366315332,0.6161309723,2.6220506023,0.1071233365,0.6111111111,0.4855394154
49535,0.4690791837,0.907448149,2.7752723156,0.1895782793,3.0249433107,-0.04667448
7898,0.0569395018,0.9047163997,0.3985765125,0.0569395018,1,0.9407953375
8076,0.142476301,0.8594878845,1.2822867094,0.0148648649,0.96,0.7601916562
450860,0.2601126488,0.8440839614,1.9556130596,0.2601126488,1.72,0.271559203
297583,0.109968567,0.7967537511,0.8318084611,0.0405982906,2.4375,0.9051606157
495551,0,0,0,0,0,2.102615432
319439,0.0917477866,0.3617948931,0.8257300797,0.0917477866,0.36,1.3569271103
35280,0.1026288342,0.9215186702,0.8519295501,0.1026288342,1.25,0.7282247358
223642,0.6842192691,0.6944009744,4.8094684385,0.6842192691,3.7777777778,-1.0031797143
6981,0.4185328185,1.0590765465,3.3482625483,0.2244897959,2,-0.3621441881
49677,0.0656934307,0.5570099705,0.5255474453,0,1.5,1.3192666916
47666,0.0519352686,0.2264509142,0.4674174174,0.0271604938,0.4444444444,1.6794858147
19276,0.9399728704,0.6393475941,0.8284947532,0.3976073188,5.7346938776,0.3224694411
230193,0.8246807017,1.0272046917,2.7361739981,0.1693535969,6.5204081633,-0.3386728033
52917,0.7496600225,1.1147606277,3.3730604872,0.3019190618,4.741349481,-0.6849225942
300631,1.4964725351,1.2173292496,0.8093941272,0,14.6611570248,-0.2335710866
7502,1.1907804108,1.1921230068,4.613186082,0.4642581425,9.796875,-1.5406164928
55814,1.1746014148,0.9759275732,1.0016855442,0.4108883007,10.1893491124,-0.2663032143
47711,1.7537398874,0.9676700132,0.8768699437,0.8628192999,12.4693877551,-0.9623346166
388678,0.0866425993,0.365724527,0.1732851986,0,8.3333333333,1.4750732398
32685,0.7884698553,1.0198055807,3.6111981597,0.2390437592,6.1530612245,-0.6252358985
10582,1.1917768732,0.9212181932,2.9305531499,0.2214515115,10.3224489796,-0.5449796461
53115,0.7695571964,1.4334150708,3.6772584661,0.2793329558,5.5789950204,-1.1030465484
44149,0.7914639867,1.3153523315,4.5133829061,0.3605320662,4.7525,-1.2870591627
46750,0.6050618401,0.8730284978,2.5128993542,0.1933349645,4.8472222222,-0.0278878534
273439,0.4840534757,0.9840425752,3.3716270306,0.1581756267,1.484375,-0.2325825223
439952,0,0,0,0,0,2.102615432
37749,0.51570531,0.8291381427,2.7942828008,0.2659014783,3.2117028271,-0.0718059557
362541,0.6228204533,1.4312874719,4.5551252105,0.4553393308,5.171875,-1.4684354249
7529,0.1732851986,0.5486416547,0.5198555957,0,4,1.2412167833
46681,0.8353743027,0.9529989562,2.4099876876,0,8.08,-0.0246955541
355269,0.6165037648,1.1983111077,2.325315378,0.1535386298,6.72,-0.3168042185
221140,0.4623141397,1.4701932306,2.0572660628,0.14296875,3.0833333333,-0.3899503122
36948,1.4426387714,0.9123772834,0.7279733781,0,16.3125,0.0965318772
44956,0.6845388072,0.873702509,1.813155377,0.2182680902,8.4166666667,0.0377465039
49638,0.2274247492,0.4942722568,1.364548495,0,2.9375,1.0675407325
50438,0.3768007948,1.5250863297,2.563835072,0,3,-0.4011784418
330408,0.8932381778,1.1869467483,4.0099263632,0.432840184,7.5,-1.1822271983
457249,0.0623466399,0.5300027322,0.4364264795,0,1,1.3831869974
55343,1.1568324097,1.3731550353,3.5422423759,0.100312754,8.8788580247,-1.0174901423
268740,0.4449087977,1.3929664952,0.9570566753,0.0964912281,6.5555555556,-0.0188872128
47850,0.7784178374,0.8291813846,3.0060126034,0.0815378162,3.84,-0.0411859595
47846,0.3510947657,0.4394811006,1.053284297,0,2.3333333333,1.1773930537
325012,0.4347826087,1.0898628226,1.7391304348,0.4347826087,10,-0.3405485886
