,,,,,,,,,,,,,,
Michael Hussey,1,16,56,4,,,,,,,,,,0.1012898
Yuvraj Singh,9,27,54,9,21,2,2,22,57,0,2,32,11,0.1274601
Angelo Mathews,27,6,15,28,17,0,16,12,22,,,,,0.09588149
Albie Morkel,73,5,8,,,,,,,,,,,0.1960817
Murali Vijay,37,35,19,0,21,34,12,39,2,28,24,,,0.1588414
Aaron Finch,5,8,10,,,,,,,,,,,
Dinesh Karthick,6,9,18,10,27,23,8,2,2,8,28,,,
Darren Sammy,7,6,,,,,,,,,,,,
David Wiese,47,22,11,9,17,4,12,,,,,,,
Eoin Morgan,27,1,32,5,63,22,17,11,9,,,,,
Ravi Bopara,22,23,41,2,23,0,17,17,,,,,,
Kane Williamson,26,5,,,,,,,,,,,,
,,,,,,,,,,,,,,
Michael Hussey,150,209,189,156,,,,,,,,,,
Yuvraj Singh,177,166,191,154,134,99,200,115,124,226,235,106,135,
Angelo Mathews,184,169,167,146,190,95,175,152,158,,,,,
Albie Morkel,149,158,120,,,,,,,,,,,
Murali Vijay,136,177,165,155,191,95,130,149,88,183,180,,,
